number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_units1,params_units2,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
10,0.0006846782052889466,2025-01-24 21:45:11.349667,2025-01-24 21:49:18.041296,0 days 00:04:06.691629,16,0.25934521721275783,180,0.0012937700123859682,121,62,0.024822427519781375,0.0010540350142574106,0.9367989233886588,COMPLETE,0.0010540350142574106,0.024822427519781375,0.9367989233886588
11,0.0006931415991857648,2025-01-24 21:49:18.058654,2025-01-24 21:50:08.475030,0 days 00:00:50.416376,64,0.10465899758715855,120,0.0034702435463643136,20,44,0.020722883760856264,0.0008293697008765729,0.9502700979614473,COMPLETE,0.0008293697008765729,0.020722883760856264,0.9502700979614473
12,0.0006826965254731476,2025-01-24 21:50:08.495335,2025-01-24 21:52:54.936298,0 days 00:02:46.440963,16,0.19181998222203167,150,0.0021401900940862216,90,48,0.01907338554680884,0.0007457968400583905,0.9552812168595421,COMPLETE,0.0007457968400583905,0.01907338554680884,0.9552812168595421
13,0.000685597478877753,2025-01-24 21:52:54.952755,2025-01-24 21:55:31.842960,0 days 00:02:36.890205,16,0.17323258154744053,140,0.002599313443485157,82,43,0.021146186353086332,0.0008676843650303824,0.9479727093626172,COMPLETE,0.0008676843650303824,0.021146186353086332,0.9479727093626172
14,0.0006885667680762708,2025-01-24 21:55:31.861156,2025-01-24 21:58:01.416435,0 days 00:02:29.555279,16,0.18758598689341588,160,0.002938799762690702,49,46,0.019698456854898624,0.0007633134438096474,0.9542309024006495,COMPLETE,0.0007633134438096474,0.019698456854898624,0.9542309024006495
15,0.0006833247607573867,2025-01-24 21:58:01.434043,2025-01-24 22:00:06.395017,0 days 00:02:04.960974,16,0.19942453388209164,110,0.006640409398733171,91,37,0.019208782940522834,0.0007602366014640867,0.9544153931871722,COMPLETE,0.0007602366014640867,0.019208782940522834,0.9544153931871722
16,0.0006823097937740386,2025-01-24 22:06:28.524617,2025-01-24 22:08:12.649350,0 days 00:01:44.124733,16,0.13629118112722682,140,0.0018793483799570785,38,50,0.018665969725894384,0.0007308073296676652,0.9561800040741568,COMPLETE,0.0007308073296676652,0.018665969725894384,0.9561800040741568
17,0.0006851018988527358,2025-01-24 22:08:12.665157,2025-01-24 22:09:51.447892,0 days 00:01:38.782735,16,0.13680276680450196,130,0.005320620686092235,41,52,0.01811638726642592,0.0006878553068871471,0.9587554536993061,COMPLETE,0.0006878553068871471,0.01811638726642592,0.9587554536993061
18,0.0006997964228503406,2025-01-24 22:09:51.462187,2025-01-24 22:11:06.185468,0 days 00:01:14.723281,32,0.22987762457866526,140,0.0018559512197901932,35,37,0.018152565316316194,0.0007025482305664098,0.9578744501438865,COMPLETE,0.0007025482305664098,0.018152565316316194,0.9578744501438865
19,0.0008909212774597108,2025-01-24 22:11:06.199997,2025-01-24 22:11:54.989601,0 days 00:00:48.789604,64,0.31150010654924454,120,0.0014057918675013067,72,18,0.022487542910741735,0.0009708542195213638,0.9417865335814841,COMPLETE,0.0009708542195213638,0.022487542910741735,0.9417865335814841
